Year,Month,Day,Hour,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Solar Azimuth Angle,Location
2022,1,1,0,19.1,0,0,0,0,16.5,0,84.99,-9999,0.2,1018,3.4,26,3.4,23.53310042,Bahrain
2022,1,1,1,18.9,0,0,0,1,16.7,0,87.25,-9999,0.2,1019,3.4,21,3.8,37.41497622,Bahrain
2022,1,1,2,18.8,0,0,0,0,16.9,0,88.83,-9999,0.2,1019,3.3,24,4.1,51.28326306,Bahrain
2022,1,1,3,18.8,0,0,0,0,17,0,89.46,-9999,0.2,1020,3.2,29,4.2,65.20255238,Bahrain
2022,1,1,4,19.3,46,54,52,0,17.1,52,87.16,83.78,0.2,1021,3.2,35,4.5,79.28323861,Bahrain
2022,1,1,5,19.7,134,308,226,1,17.1,226,84.89,72.62,0.2,1021,3.1,44,4.6,93.67337313,Bahrain
2022,1,1,6,20.2,166,515,402,3,17.1,150,82.4,62.74,0.2,1021,3.2,55,4.8,108.5398988,Bahrain
2022,1,1,7,20.5,192,596,535,3,17.2,58,81.33,54.91,0.2,1020,3.2,64,5.2,124.0355735,Bahrain
2022,1,1,8,20.7,214,613,607,8,17.3,65,81.03,50.15,0.2,1018,3.4,71,5.2,140.2483962,Bahrain
2022,1,1,9,20.6,206,636,620,4,17.5,86,82.5,49.35,0.2,1018,3.7,74,4.8,157.140608,Bahrain
2022,1,1,10,20.5,207,584,561,3,17.7,415,84.02,52.69,0.2,1017,3.9,79,4.9,174.5069126,Bahrain
2022,1,1,11,20.3,193,496,445,3,17.9,62,86.26,59.48,0.2,1017,4,87,4.8,191.9972848,Bahrain
2022,1,1,12,20.3,156,360,287,3,18.1,29,87.16,68.69,0.2,1016,3.9,90,4.8,209.220008,Bahrain
2022,1,1,13,20.2,85,150,112,8,18.3,53,88.57,79.45,0.2,1016,3.8,93,4.8,225.871262,Bahrain
2022,1,1,14,20.1,0,0,0,7,18.4,0,89.82,-9999,0.2,1016,3.7,98,5.1,241.8104767,Bahrain
2022,1,1,15,20,0,0,0,7,18.5,0,90.99,-9999,0.2,1016,3.7,99,5.5,257.0541119,Bahrain
2022,1,1,16,20,0,0,0,7,18.6,0,91.48,-9999,0.2,1016,3.7,96,5,271.7216006,Bahrain
2022,1,1,17,19.9,0,0,0,5,18.7,0,92.84,-9999,0.2,1016,3.7,94,5.4,285.9762023,Bahrain
2022,1,1,18,20,0,0,0,7,19,0,93.76,-9999,0.2,1015,3.9,97,5.6,299.9810155,Bahrain
2022,1,1,19,20,0,0,0,7,19.3,0,95.58,-9999,0.2,1015,4.2,98,4.8,313.8717925,Bahrain
2022,1,1,20,20.1,0,0,0,7,19.5,0,96.28,-9999,0.2,1014,4.3,97,4.6,327.742429,Bahrain
2022,1,1,21,20.2,0,0,0,6,19.6,0,96.45,-9999,0.2,1013,4.3,104,4.9,341.640301,Bahrain
2022,1,1,22,20.2,0,0,0,6,19.7,0,96.94,-9999,0.2,1013,4.1,110,5.5,355.5709397,Bahrain
2022,1,1,23,20.2,0,0,0,6,19.7,0,97.24,-9999,0.2,1012,4,116,5.9,9.511852287,Bahrain
2022,1,2,0,20.2,0,0,0,7,19.8,0,97.59,-9999,0.2,1011,3.9,122,6.3,23.4332269,Bahrain
2022,1,2,1,20.2,0,0,0,5,19.9,0,97.96,-9999,0.2,1011,3.9,125,6.2,37.32055046,Bahrain
2022,1,2,2,20.3,0,0,0,4,19.9,0,97.29,-9999,0.2,1011,4.1,130,5.9,51.19327426,Bahrain
2022,1,2,3,20.4,0,0,0,4,19.8,0,96.43,-9999,0.2,1011,4,135,5.9,65.1154338,Bahrain
2022,1,2,4,20.6,42,32,46,5,19.9,6,95.52,83.83,0.2,1011,3.8,140,6.1,79.19690132,Bahrain
2022,1,2,5,20.8,139,252,215,0,19.8,215,93.92,72.65,0.2,1011,3.7,145,6.1,93.58526124,Bahrain
2022,1,2,6,21,191,417,382,8,19.4,382,90.66,62.74,0.2,1011,3.6,153,6,108.4470971,Bahrain
2022,1,2,7,21.5,230,487,510,7,18.8,436,84.55,54.89,0.2,1010,3.5,165,6.1,123.9350559,Bahrain
2022,1,2,8,22,276,466,575,7,18.2,575,79.15,50.09,0.2,1008,3.6,181,5.8,140.1375316,Bahrain
2022,1,2,9,22,236,559,601,8,18,601,78.21,49.25,0.2,1008,3.9,203,5.2,157.0179351,Bahrain
2022,1,2,10,21.9,214,562,556,1,18,556,78.65,52.57,0.2,1007,3.7,197,3.4,174.3728941,Bahrain
2022,1,2,11,22.1,199,476,442,5,18,59,77.58,59.35,0.2,1006,3.5,189,2.7,191.8544532,Bahrain
2022,1,2,12,22.3,169,291,275,3,18.1,26,76.94,68.55,0.2,1007,3.4,199,2,209.0721699,Bahrain
2022,1,2,13,22.2,84,67,97,3,17.9,15,76.51,79.32,0.2,1007,3.4,206,1.2,225.7222124,Bahrain
2022,1,2,14,22.2,0,0,0,7,17.4,0,74.4,-9999,0.2,1007,3.3,226,0.9,241.6630558,Bahrain
2022,1,2,15,21.9,0,0,0,7,17.5,0,76.15,-9999,0.2,1008,3.3,254,0.9,256.9099728,Bahrain
2022,1,2,16,21.5,0,0,0,4,17.9,0,79.9,-9999,0.2,1008,3.4,275,1.2,271.5814773,Bahrain
2022,1,2,17,21.2,0,0,0,0,18.1,0,82.43,-9999,0.2,1008,3.5,285,2,285.8403291,Bahrain
2022,1,2,18,21,0,0,0,3,18.1,0,83.52,-9999,0.2,1009,3.4,291,3.3,299.8494873,Bahrain
2022,1,2,19,20.6,0,0,0,0,18.1,0,85.8,-9999,0.2,1009,3,296,3.2,313.7447978,Bahrain
2022,1,2,20,20.2,0,0,0,0,18,0,87.13,-9999,0.2,1009,2.5,299,3.4,327.6203462,Bahrain
2022,1,2,21,19.6,0,0,0,0,17.8,0,89.15,-9999,0.2,1009,2.2,301,4.4,341.5236677,Bahrain
2022,1,2,22,19,0,0,0,0,17.6,0,91.45,-9999,0.2,1010,2,304,5,355.4603173,Bahrain
2022,1,2,23,18.4,0,0,0,0,17.3,0,93.45,-9999,0.2,1010,1.9,306,5.4,9.407627738,Bahrain
